Rank;Name;Computer;Site;Country;Year;Segment;Total Cores;Power (kW);Cores per Socket;Continent;Site ID;System ID;Power per Socket (kW)
138;COBRA;Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path;Max-Planck-Gesellschaft MPI/IPP;Germany;2018;Research;127520;1635;20;Europe;48,331;179423;0.25643036386449186
141;Shaheen II;Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ;King Abdullah University of Science and Technology;Saudi Arabia;2015;Academic;196608;2834;16;Asia;50,205;178515;0.23063151041666666
142;Grete;MEGWARE GPU Server System, AMD EPYC 7513 32C 2.6GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR;NHR@Göttingen;Germany;2022;Academic;49600;205.62;32;Europe;50,947;180092;0.13265806451612905
143;Electra;HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IB;NASA/Ames Research Center/NAS;United States;2018;Research;124416;1685.73;20;North America;48,408;179589;0.2709828317901235
145;Snellius Phase 2 CPU;ThinkSystem SD665 V3, AMD EPYC 9654 96C 2.4GHz, Infiniband NDR200;SURF;Netherlands;2023;Research;150912;799;96;Europe;50,900;180230;0.5082697201017812
147;MAHTI;Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100;CSC (Center for Scientific Computing);Finland;2020;Academic;169728;1070;64;Europe;47,508;179855;0.4034690799396682
152;DiRAC, Tursa;BullSequana XH2000, AMD EPYC 7302 32C 3GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband;University of Edinburgh;United Kingdom;2021;Academic;55552;243.95;32;Europe;49,151;180018;0.14052419354838708
153;TX-GAIA (Green AI Accelerator);Apollo 2000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Intel Omni-Path;MIT Lincoln Laboratory Supercomputing Center;United States;2019;Academic;88400;1436;20;North America;48,296;179603;0.32488687782805425
155;Athena;FormatServer THOR ERG21, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR;Cyfronet;Poland;2021;Academic;47616;146.56;64;Europe;47,634;180055;0.19698924731182796
160;Cheyenne;SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR;National Center for Atmospheric Research (NCAR);United States;2016;Research;144900;1727;18;North America;48,418;178965;0.21453416149068322
168;Wisteria/BDEC-01 (Aquarius);PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR;Information Technology Center, The University of Tokyo;Japan;2021;Academic;42120;183.93;36;Asia;50,096;179963;0.15720512820512822
172;SNL/NNSA CTS-1 Manzano;Tundra Extreme Scale, Xeon Platinum 8268 24C 2.9GHz, Intel Omni-Path;Sandia National Laboratories;United States;2020;Research;71424;960;24;North America;48,748;179907;0.3225806451612903
179;Noctua 2;BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100;Universitaet Paderborn - PC2;Germany;2022;Academic;135168;868.74;64;Europe;49,104;180071;0.41133522727272726
184;JOLIOT-CURIE SKL;Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR;CEA/TGCC-GENCI;France;2017;Research;79488;917;24;Europe;50,414;179411;0.27687198067632846
187;Alex;MEGWARE NF5488A5, AMD EPYC 7713 64C 2GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR;Universitaet Erlangen - Regionales Rechenzentrum Erlangen;Germany;2021;Academic;37696;178.97;64;Europe;49,515;180075;0.3038539898132428
201;Pratyush;Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ;Indian Institute of Tropical Meteorology;India;2018;Research;119232;1353.23;18;Asia;50,296;179416;0.2042919685990338
